band_name,corrected_band_name,average_price,mbid,listeners,playcount,actual_known_cost?,bio_intro,image_url
311,311,"$125,000",bf600e2b-dc2d-4839-a1be-6ebef4087cd0,1002205,20714319,TRUE,"311 was formed in 1990 in Omaha, Nebraska, United States by singer/guitarist Nick Hexum, singer S.A. Martinez, guitarist Tim Mahoney, drummer Chad Sexton and bassist P-Nut. The band now resides in Los Angeles, California. 311 mix rock, rap, reggae and funk into their own unique sound. After years of consistent touring, 311 have developed a reputation as one of the hardest working, most influential and most entertaining live bands in the U.S. 311 have released ten studio albums <a href=""https://www.last.fm/music/311"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/2de05be536764927b057c1e7fb21f455.png
3 Doors DOwn,3 Doors Down,"$200,000",2386cd66-e923-4e8e-bf14-2eebe2e9b973,2491917,58192539,TRUE,"3 Doors Down is a post-Grunge influenced Alternative rock group from Escatawpa, Mississippi, United States that formed in 1996. Consisting of Brad Arnold (vocals), Chet Roberts (guitar, a replacement for Matt Roberts), Todd Harrell (bass), Chris Henderson (guitar), and Greg Upchurch (drums), the band is known for several successful rock singles such as ""Here Without You"" and ""Kryptonite"". The group signed to Universal Records in 2000.Universal then released their first album, 'The Better Life', and they garnered a big fan response. <a href=""https://www.last.fm/music/3+Doors+Down"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/63897cf552b04e71bddeba9d7eea1b32.png
50 Cent,50 Cent,"$300,000",8e68819d-71be-4e7d-b41d-f1df81b01d3f,2597551,38353987,TRUE,"Curtis James Jackson III (born July 6, 1975 in South Jamaica, Queens, New York), better known by his stage name 50 Cent, is a Grammy award nominated rapper, actor, singer, entrepreneur, author and founder of the hip hop group and label G-Unit. After leaving drug dealing to pursue a rap career, he released his debut album Guess Who's Back Again in 2002. He was discovered by Eminem and Dr. Dre and then signed to Interscope Records. He has since released Get Rich or Die Tryin' (2003) <a href=""https://www.last.fm/music/50+Cent"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/9afac043f68f48fab691772c14246d3f.png
Adele,Adele,"$750,000",cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,2790895,124780896,TRUE," Adele Laurie Blue Adkins, (born 5 May 1988), is a multiple Grammy Award-Winning English singer-songwriter from Enfield, North London. Her debut album, 19, was released in January 2008 and entered the UK album chart at #1. The album has since received four-times Platinum certification in the UK and has sold 5,500,000 copies worldwide. The album included the hugely popular song Chasing Pavements. 19 earned Adele two Grammy Awards in February 2009 for Best New Artist and Best Female Pop Vocal Performance.  <a href=""https://www.last.fm/music/Adele"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/415347a25135837705b7e3b3f47dd57a.png
Alanis Morrisette,Alanis Morrisette,"$125,000",,0,0,TRUE,"MISSPELLING of Alanis Morissette (born June 1, 1974) is a Canadian/American singer-songwriter, record producer and occasional actress. She has won eleven Juno Awards and seven Grammy Awards, and has sold over 60 million albums worldwide.Morissette began her career in Canada, and as a teenager recorded two dance-pop albums, Alanis and Now Is the Time, under MCA Records. Her international debut album was the rock-influenced Jagged Little Pill, which remains the best-selling debut album by a female artist in the U. <a href=""https://www.last.fm/music/+noredirect/Alanis+Morrisette"">Read more on Last.fm</a>",
Alicia Keys,Alicia Keys,"$425,000",8ef1df30-ae4f-4dbd-9351-1a32b208a01e,2275286,49466803,TRUE,"Alicia Augello Cook (born January 25, 1981), better known by her stage name Alicia Keys, is an American recording artist, musician and actress. She was raised by a single mother in the Hell's Kitchen area of Manhattan in New York City, New York, United States. At age seven, Keys began to play classical music on the piano. She attended Professional Performing Arts School and graduated at 16 as valedictorian. She later attended Columbia University before dropping out to pursue her music career. <a href=""https://www.last.fm/music/Alicia+Keys"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/b40831b30e5605fbfe0ccf96e242b94c.png
Arcade Fire,Arcade Fire,"$150,000",52074ba6-e495-4ef3-9bb4-0703888a9f68,2519641,178796197,TRUE,"Arcade Fire is an indie rock band formed in Montreal, Quebec, Canada in 2001. The band consists of Win Butler (vocals, guitar, piano), Rﬁ∏gine Chassagne (vocals, accordion, keyboards, hurdy gurdy, drums), Richard Reed Parry (bass, guitar), Will Butler (keyboards, guitar), Tim Kingsbury (bass), and Jeremy Gara (drums). Montreal percussionist Dane Mills performed on the EP and in early live shows.  As of May 2005, the touring band includes horn players and violinists. <a href=""https://www.last.fm/music/Arcade+Fire"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3a49cff89e545ef8de758284f8aebab5.png
Avenged Sevenfold,Avenged Sevenfold,"$100,000",24e1b53c-3085-4581-8472-0b0088d2508c,1671012,96152077,TRUE,"Avenged Sevenfold (often abbreviated to A7X) are a heavy metal/hard rock band which formed in 1999 in Huntington Beach, California, United States. The band consists of vocalist M. Shadows, lead guitarist Synyster Gates, rhythm guitarist Zacky Vengeance, bassist Johnny Christ, and former Bad Religion and Suicidal Tendencies drummer Brooks Wackerman. Heartbreakingly, the band's best friend and original drummer James ""The Rev"" Sullivan passed away in 2009. <a href=""https://www.last.fm/music/Avenged+Sevenfold"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/82b70bfe28f945ffc54ff757240fe99c.png
Avicii,Avicii,"$175,000",c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,1498545,41261922,TRUE,"Tim Bergling (born September 8, 1989 in Stockholm, Sweden, died April 20, 2018 in Muscat, Oman), better known by his stage name Avicii, was a Swedish DJ, remixer and record producer. Avicii was ranked 3rd on DJ Magazineã®´Íçã®´Íçã®´ã®´_'ã®´ã®´ö_Íçs annual Top 100 DJs in 2012 and 2013 and has been nominated twice for a Grammy Award, once for his work on ""Sunshine"" with David Guetta in 2012 and once for his song ""Levels"" (which sampled the 1962 Etta James track ""Something's Got a Hold on Me"") in 2013. <a href=""https://www.last.fm/music/Avicii"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/a7e53fbe546326716775ac79bb5593ed.png
Axwell,Axwell,"$100,000",4539050e-e355-4c39-bdfa-e74cb67ce365,440023,2740669,TRUE,"Axwell, along with Sebastian Ingrosso, and Steve Angello is one-third of of what has become known as the Swedish House Mafia.Axwell, born Axel Hedfors in the Swedish countryside, found that music was in his system from a tender age. Playing the drums at the age of 9, he became frustrated with his fellow classmates who could not keep up; he traded his drums at the age of 13 for a computer so he could play all the instruments himself. Axwell released <a href=""https://www.last.fm/music/Axwell"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/29fd4a55b12a44908779ba13276951b0.png
